total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
1856.7690467834473,1.8567690467834472,18,0.018,1000,-2973622.672653217,-2973.622672653217
1080.7826545238495,1.0807826545238495,17,0.017,1000,-3511262.22748437,-3511.26222748437
1975.784278869629,1.975784278869629,19,0.019,1000,-4754853.738407975,-4754.8537384079755
1649.6917595863342,1.6496917595863343,17,0.017,1000,-4690460.817007904,-4690.460817007904
1295.1505089998245,1.2951505089998245,19,0.019,1000,-4277567.846221485,-4277.5678462214855
1703.830813407898,1.7038308134078979,20,0.02,1000,-3313013.4203761183,-3313.013420376118
2149.6933003515005,2.1496933003515006,17,0.017,1000,-3760695.477776609,-3760.695477776609
1855.0449004173279,1.855044900417328,18,0.018,1000,-3478211.8907411904,-3478.2118907411905
1701.0601732730865,1.7010601732730866,20,0.02,1000,-3761791.2101044497,-3761.79121010445
1028.9088211655617,1.0289088211655617,15,0.015,1000,-4007530.73726469,-4007.53073726469
