total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
3889.775205537677,3.889775205537677,20,0.02,1000,-1237764.0339926968,-1237.7640339926968
2720.369574546814,2.720369574546814,20,0.02,1000,-569180.4524534374,-569.1804524534374
2457.2135047912598,2.4572135047912598,18,0.018,1000,-761732.6604536005,-761.7326604536005
2397.920593187213,2.3979205931872127,19,0.019,1000,-788345.2849293395,-788.3452849293395
3233.326401889324,3.2333264018893244,18,0.018,1000,-535401.5797880632,-535.4015797880631
3418.246067047119,3.4182460670471193,19,0.019,1000,-580782.4206947252,-580.7824206947253
2266.9030067920685,2.2669030067920684,19,0.019,1000,-1670569.236606792,-1670.5692366067922
2277.993232727051,2.277993232727051,18,0.018,1000,-739545.6352180842,-739.5456352180842
2305.4680733680725,2.3054680733680724,20,0.02,1000,-1129320.832484239,-1129.320832484239
2336.5821628570557,2.3365821628570558,19,0.019,1000,-1391928.5565481696,-1391.9285565481696
