total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
3020.709456205368,3.0207094562053682,18,0.018,1000,-560063.8997127056,-560.0638997127056
3555.8633918762207,3.555863391876221,20,0.02,1000,-351618.73800673016,-351.61873800673015
3021.732403755188,3.021732403755188,20,0.02,1000,-405149.93043333734,-405.1499304333373
3442.173122461885,3.442173122461885,18,0.018,1000,-440544.2505674021,-440.5442505674021
3565.5732078552246,3.5655732078552247,18,0.018,1000,-391016.59655034565,-391.01659655034564
2698.2959699630737,2.6982959699630737,18,0.018,1000,-706374.9890229609,-706.3749890229609
3066.895261287689,3.0668952612876894,19,0.019,1000,-450227.476637345,-450.227476637345
3598.643467903137,3.598643467903137,20,0.02,1000,-511515.28068555857,-511.5152806855586
4020.911371231079,4.020911371231079,20,0.02,1000,-463605.6947482423,-463.60569474824234
3170.624200820923,3.1706242008209227,19,0.019,1000,-610703.973122116,-610.7039731221159
