Total Reward,Epsilon,Average Loss,Training Time
-48642.68454,0.1,1212.165033,8.478112936
-62156.02097,0.1,2683.119632,8.410873652
-47583.00769,0.1,1043.603154,8.402365923
-71153.04098,0.1,2008.691236,8.661167145
-65147.49929,0.1,1137.162783,10.9005208
-62191.65866,0.1,997.9479655,8.996488094
-65459.33567,0.1,903.869821,12.03406787
-53708.64438,0.1,929.6083019,10.4588089
-44932.97979,0.1,881.2792243,10.24686003
-95232.84943,0.1,2163.065188,9.507375956
-62954.19241,0.1,1265.353223,9.958004951
-64794.55363,0.1,2493.825714,9.629912853
-97851.54621,0.1,1601.215971,9.219044209
-106896.1911,0.1,1787.131633,11.22134972
-58171.75004,0.1,1707.587763,10.08291698
-46744.47693,0.1,1372.008244,10.92174816
-48125.12472,0.1,1215.173381,9.339970827
-51966.80856,0.1,1085.578789,10.62524891
-59470.44016,0.1,831.2768038,10.62493682
-46490.47706,0.1,663.0905536,10.43332696
-57488.73025,0.1,679.7629144,10.52263665
-60852.09657,0.1,1147.931712,9.00737071
-52019.44522,0.1,827.0605756,9.021273851
-49634.98072,0.1,749.3369585,8.85372901
-52561.99689,0.1,700.5907327,8.738724232
-39623.74365,0.1,706.0110897,9.144733906
-39695.31,0.1,1057.715305,10.66802621
-44968.44027,0.1,680.2255313,11.51722431
-42574.21563,0.1,630.0246054,12.51188493
-46896.3213,0.1,601.2196726,11.31289697
-48473.99782,0.1,492.8532457,10.13490701
-38417.76619,0.1,721.0220037,15.4569931
-38138.80787,0.1,833.3413757,11.32007813
-36442.79495,0.1,807.3000103,14.16241693
-37513.68334,0.1,780.3204393,15.38814282
-45850.60036,0.1,644.399235,17.56707096
-36055.0304,0.1,582.562399,10.77494121
-37819.35598,0.1,709.4433476,11.45166111
-40869.38022,0.1,623.6487424,10.03352427
-36546.37537,0.1,606.3653476,11.14405298
-37054.78595,0.1,581.6643246,12.91592813
-34090.79639,0.1,674.3960307,11.28110385
-41721.21042,0.1,699.7281628,10.66660905
-40354.57591,0.1,671.5139688,9.064476252
-41299.92502,0.1,647.5488906,10.17761302
-33893.86916,0.1,604.9093029,9.884052038
-32602.77757,0.1,742.1259666,11.92786598
-34989.5882,0.1,766.4560916,11.22340918
-40784.13568,0.1,683.2192134,10.53422832
-46080.09419,0.1,661.7433554,11.40095282
