total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
3936.9958527088165,3.9369958527088165,20,0.02,1000,-999067.3094194601,-999.0673094194601
3461.60821557045,3.46160821557045,17,0.017,1000,-568165.4503519081,-568.1654503519081
3233.195245921612,3.233195245921612,18,0.018,1000,-1159476.1028078655,-1159.4761028078656
3496.6117384433746,3.4966117384433746,20,0.02,1000,-1112144.4473499865,-1112.1444473499864
2932.3596663475037,2.932359666347504,18,0.018,1000,-1022841.4408771974,-1022.8414408771974
3690.3805837631226,3.6903805837631225,17,0.017,1000,-594947.0351866772,-594.9470351866772
3824.8405780792236,3.8248405780792236,20,0.02,1000,-603628.2122250745,-603.6282122250745
3421.9082832336426,3.4219082832336425,19,0.019,1000,-1087801.770159664,-1087.801770159664
2881.7085532546043,2.8817085532546045,19,0.019,1000,-1224909.58797416,-1224.9095879741599
3588.0871844291687,3.5880871844291686,16,0.016,1000,-583429.6918568728,-583.4296918568728
