total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
257.53021466732025,0.25753021466732023,17,0.017,1000,-5753069.463234868,-5753.069463234868
264.1905012726784,0.2641905012726784,15,0.015,1000,-4754404.813228181,-4754.4048132281805
379.9603081047535,0.3799603081047535,12,0.012,1000,-6090929.943297519,-6090.9299432975195
330.14030028227717,0.33014030028227714,16,0.016,1000,-4422586.565875379,-4422.586565875379
82.15965700149536,0.08215965700149536,17,0.017,1000,-5014091.560303705,-5014.091560303705
240.89476215839386,0.24089476215839387,19,0.019,1000,-5869998.317672704,-5869.998317672705
321.15979385375977,0.32115979385375976,15,0.015,1000,-6073881.049107456,-6073.8810491074555
269.9430582076311,0.2699430582076311,18,0.018,1000,-4892809.69395988,-4892.80969395988
87.20059037208557,0.08720059037208557,16,0.016,1000,-6066282.362437787,-6066.282362437786
299.43855863809586,0.2994385586380959,18,0.018,1000,-5253030.791536777,-5253.0307915367775
