total_distance,average_distance_per_step,num_users_covered,average_coverage_per_step,total_time,total_rewards,average_reward_per_step
5423.967677593231,5.4239676775932315,18,0.018,1000,-176017.523737678,-176.017523737678
5853.924475669861,5.853924475669861,20,0.02,1000,-122063.8161811355,-122.0638161811355
4636.241126716137,4.636241126716137,19,0.019,1000,-226199.59863681963,-226.19959863681964
5003.347471117973,5.003347471117974,16,0.016,1000,-317765.7663784149,-317.76576637841487
4461.270218372345,4.461270218372345,19,0.019,1000,-456206.50332564244,-456.2065033256424
5560.532251596451,5.560532251596451,19,0.019,1000,-139434.4352644974,-139.4344352644974
4853.0429491996765,4.8530429491996765,20,0.02,1000,-334499.9706125436,-334.49997061254356
5959.042870759964,5.959042870759964,19,0.019,1000,-149617.60354359474,-149.61760354359475
5781.127130031586,5.781127130031586,20,0.02,1000,-168924.82078406497,-168.92482078406496
4238.917865037918,4.2389178650379185,19,0.019,1000,-419070.62827678205,-419.07062827678203
